community_id,lng,lat,population,community_type,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level,ADI_day,ADI_night,lisa_cluster_day,vulnerability_level,MVI
1,113.916231,22.546877,1962,high_end,0.0281872823558172,0.0011464838372693,0.096712105584358,0.048269654492795,-50.08933555821361,0.0484424510915629,0.4991066444178639,0.0484424510915629,0-NightAdv,0.903287894415642,0.951730345507205,LL,0-NightAdv,0.0
2,113.93485,22.527444,1580,commodity_housing,0.0120260960327882,0.000808425612536,0.0412621924529241,0.034036611534957,-17.5113838805604,0.0072255809179671,0.8248861611943961,0.0072255809179671,0-NightAdv,0.9587378075470759,0.965963388465043,LH,0-NightAdv,0.0
3,113.935645,22.528029,3123,high_end,0.0127513142107082,0.0008825142911433,0.0437504556387583,0.037155918412163,-15.073070966495813,0.0065945372265953,0.8492692903350418,0.0065945372265953,0-NightAdv,0.9562495443612417,0.962844081587837,LH,0-NightAdv,0.0
4,113.918479,22.526518,4453,high_end,0.0422403415852498,0.0032494202240947,0.1449289194943953,0.1368082012325017,-5.603242120498741,0.0081207182618936,0.9439675787950126,0.0081207182618936,0-NightAdv,0.8550710805056048,0.8631917987674983,ns,0-NightAdv,0.0
5,113.957109,22.52315,1292,high_end,0.0016573698762966,6.679985719215204e-05,0.0056865265847687,0.0028124304259823,-50.54220913139824,0.0028740961587863,0.4945779086860176,0.0028740961587863,0-NightAdv,0.9943134734152314,0.9971875695740177,LL,0-NightAdv,0.0
6,113.92981,22.530638,1822,commodity_housing,0.0072056456712459,0.0005816267539793,0.0247229639297662,0.0244878484508044,-0.9510003720822742,0.0002351154789618,0.9904899962791772,0.0002351154789618,1-None,0.9752770360702337,0.9755121515491956,ns,1-None,0.0
7,113.953239,22.518945,5226,high_end,0.0038599308748085,0.0002302403172293,0.0132436336926877,0.0096936565538008,-26.80515952994802,0.0035499771388869,0.7319484047005198,0.0035499771388869,0-NightAdv,0.9867563663073123,0.9903063434461992,LH,0-NightAdv,0.0
8,113.931195,22.526954,1188,high_end,0.0202668316833162,0.0012587486391208,0.0695366066467481,0.0529962655630252,-23.78652321610863,0.0165403410837228,0.7621347678389138,0.0165403410837228,0-NightAdv,0.9304633933532519,0.9470037344369748,LH,0-NightAdv,0.0
9,113.929679,22.506525,6150,high_end,0.0937663797564161,0.0062515488811431,0.3217175712363065,0.2632048483616878,-18.187605560294443,0.0585127228746187,0.8181239443970556,0.0585127228746187,0-NightAdv,0.6782824287636935,0.7367951516383122,LH,0-NightAdv,0.0
10,113.92211,22.541586,4619,high_end,0.038182675287874,0.0024184126237927,0.1310068447649416,0.1018208351279762,-22.278232629243348,0.0291860096369653,0.7772176737075666,0.0291860096369654,0-NightAdv,0.8689931552350584,0.8981791648720238,LH,0-NightAdv,0.0
11,113.930124,22.507264,5696,commodity_housing,0.0955366067024866,0.0061573002853264,0.327791316592652,0.2592367617575752,-20.914085079401257,0.0685545548350767,0.7908591492059874,0.0685545548350767,0-NightAdv,0.672208683407348,0.7407632382424247,LH,0-NightAdv,0.0
12,113.952473,22.531496,5583,commodity_housing,0.009446859405117,0.0004300294080771,0.0324126906842336,0.0181052451633901,-44.14149278820301,0.0143074455208435,0.5585850721179699,0.0143074455208435,0-NightAdv,0.9675873093157664,0.9818947548366099,LL,0-NightAdv,0.0
13,113.935223,22.521598,8903,commodity_housing,0.0406064843782236,0.0023764154818466,0.1393230661623493,0.1000526570991849,-28.18658112031761,0.0392704090631643,0.7181341887968239,0.0392704090631643,0-NightAdv,0.8606769338376508,0.8999473429008151,LH,0-NightAdv,0.0
14,113.937297,22.539434,4131,commodity_housing,0.0071041218466882,0.0004554207894745,0.0243746301416414,0.0191742817841473,-21.335086223974574,0.005200348357494,0.7866491377602542,0.005200348357494,0-NightAdv,0.9756253698583586,0.9808257182158527,LH,0-NightAdv,0.0
15,113.936653,22.539844,5600,commodity_housing,0.0079087049156685,0.0003239482682303,0.0271351986042674,0.0136389807450441,-49.73694151293501,0.0134962178592232,0.5026305848706499,0.0134962178592232,0-NightAdv,0.9728648013957326,0.9863610192549559,LL,0-NightAdv,0.0
