id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status
1,花样年花郡家园,深圳宝安大道与玉律路交汇处宝安体育馆旁,宝安,宝安中心区,baoanzhongxinqu,43251,,,ERR:HTTP Error 429: Too 
2,中洲·中央一街商铺,深圳深圳市宝安区创业二路与前进一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
3,白金假日公寓,深圳宝安区海城路上,宝安,宝安中心区,baoanzhongxinqu,33515,,,ERR:HTTP Error 429: Too 
4,中洲中央公园,深圳深圳宝安区创业路与前进路交汇处,宝安,宝安中心区,baoanzhongxinqu,39876,,,ERR:HTTP Error 429: Too 
5,招华曦城,深圳广深高速宝安出口招商华侨城,宝安,宝安中心区,baoanzhongxinqu,68202,,,ERR:HTTP Error 429: Too 
6,财富港,深圳宝源路与海城路交汇处,宝安,宝安中心区,baoanzhongxinqu,34492,,,ERR:HTTP Error 429: Too 
7,卡罗社区,深圳宝安区宝安大道与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,36446,,,ERR:HTTP Error 429: Too 
8,海语西湾,深圳宝安中心区新安六路与海滨大道交汇处,宝安,宝安中心区,baoanzhongxinqu,38138,,,ERR:HTTP Error 429: Too 
9,西城上筑,深圳宝安中心区创业西路与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,48538,,,ERR:HTTP Error 429: Too 
10,富通好旺角,深圳宝安大道与创业一路交汇处,宝安,宝安中心区,baoanzhongxinqu,41982,,,ERR:HTTP Error 429: Too 
11,金泓凯旋城,深圳宝安大道与新安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,49807,,,ERR:HTTP Error 429: Too 
12,泰华俊庭,深圳创业路与自由路交汇处,宝安,宝安中心区,baoanzhongxinqu,33626,,,ERR:HTTP Error 429: Too 
13,福中福花园,深圳新安大道与宝源路交汇处,宝安,宝安中心区,baoanzhongxinqu,25246,,,ERR:HTTP Error 429: Too 
14,西岸观邸,深圳宝安大道与甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,57072,,,ERR:HTTP Error 429: Too 
15,尚都,深圳新湖路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,51100,,,ERR:HTTP Error 429: Too 
16,西城雅筑,深圳深圳前海宝安中心区.新湖路地铁1号线宝体站,宝安,宝安中心区,baoanzhongxinqu,49239,,,ERR:HTTP Error 429: Too 
17,天悦龙庭,深圳宝安中心区新湖路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,47817,,,ERR:HTTP Error 429: Too 
18,勤诚达22世纪,深圳创业路灵芝公园旁(地铁环中线洪浪北站A出口),宝安,宝安中心区,baoanzhongxinqu,45723,,,ERR:HTTP Error 429: Too 
19,云顶嘉园,深圳35区新安五路与宝民一路交汇处,宝安,宝安中心区,baoanzhongxinqu,36710,,,ERR:HTTP Error 429: Too 
20,熙龙湾,深圳甲岸路与海秀路交汇处,宝安,宝安中心区,baoanzhongxinqu,62809,,,ERR:HTTP Error 429: Too 
21,菁英趣庭,深圳宝安大道与裕安路交汇处,宝安,宝安中心区,baoanzhongxinqu,44479,,,ERR:HTTP Error 429: Too 
22,勤诚达22世纪商铺,深圳创业路灵芝公园旁(地铁环中线洪浪北站A出口),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
23,花样年花乡,深圳宝安中心区宝安大道与玉律路交汇处,宝安,宝安中心区,baoanzhongxinqu,46073,,,ERR:HTTP Error 429: Too 
24,深业新岸线,深圳创业一路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,48695,,,ERR:HTTP Error 429: Too 
25,海雅缤纷城君誉,深圳新安宝城5区建安一路与新圳西路交汇处,宝安,宝安中心区,baoanzhongxinqu,36629,,,ERR:HTTP Error 429: Too 
26,君逸世家,深圳新湖路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,41171,,,ERR:HTTP Error 429: Too 
27,金成时代家园,深圳宝安新中心区新湖路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,40484,,,ERR:HTTP Error 429: Too 
28,丽晶国际,深圳新城大道与创业西路交汇处,宝安,宝安中心区,baoanzhongxinqu,43679,,,ERR:HTTP Error 429: Too 
29,中南花园,深圳宝安大道与新安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,33820,,,ERR:HTTP Error 429: Too 
30,泰华锦绣城,"深圳宝安49区,翻身路与上川路交汇处",宝安,宝安中心区,baoanzhongxinqu,27183,,,ERR:HTTP Error 429: Too 
31,幸福海岸,深圳玉律路南与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,47405,,,ERR:HTTP Error 429: Too 
32,第五大道,深圳罗田路与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,50872,,,ERR:HTTP Error 429: Too 
33,新世界名镌,深圳新安街道广盛路新世界誉名别苑,宝安,宝安中心区,baoanzhongxinqu,72502,,,ERR:HTTP Error 429: Too 
34,熙龙湾二期,深圳甲岸路与海秀路交汇处,宝安,宝安中心区,baoanzhongxinqu,68473,,,ERR:HTTP Error 429: Too 
35,幸福海岸二期,深圳中心区N15区,宝安,宝安中心区,baoanzhongxinqu,48930,,,ERR:HTTP Error 429: Too 
36,福中福花园二期,深圳新安大道与宝源路交汇处,宝安,宝安中心区,baoanzhongxinqu,28366,,,ERR:HTTP Error 429: Too 
37,深业新岸线三期,深圳创业路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,47499,,,ERR:HTTP Error 429: Too 
38,富源花园,深圳翻身路与兴华路交汇处,宝安,宝安中心区,baoanzhongxinqu,26695,,,ERR:HTTP Error 429: Too 
39,中商花园,深圳宝安城区40区(新中心区)宝安大道与甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,31383,,,ERR:HTTP Error 429: Too 
40,理想居,深圳翻身路与上川路交汇处,宝安,宝安中心区,baoanzhongxinqu,28522,,,ERR:HTTP Error 429: Too 
41,新锦安雅园,深圳宝安区38区翻身路,宝安,宝安中心区,baoanzhongxinqu,36445,,,ERR:HTTP Error 429: Too 
42,宏发领域,深圳新湖路与创业路交汇东面,宝安,宝安中心区,baoanzhongxinqu,58742,,,ERR:HTTP Error 429: Too 
43,天健时尚空间,深圳兴华一路与海秀路交汇处,宝安,宝安中心区,baoanzhongxinqu,56585,,,ERR:HTTP Error 429: Too 
