name,address,facility_type,lng,lat,business_period,is_24h,night_service
深圳市南山区中医院大冲中医门诊部,粤海街道大冲新城花园一栋,pharmacy,113.952848,22.542489,,False,True
茂业百货(南山店),海德二道288号,supermarket,113.930332,22.51973,,False,True
卓悦INTOWN(后海店),兰芷一路与芳芷四路交叉口东南60米,supermarket,113.94298,22.518942,,False,True
宝能·all city购物中心(南山店),蛇口街道深圳湾社区中心路2233号,supermarket,113.939008,22.499768,,False,True
益田假日里购物中心(西丽店),桃源街道平山社区留仙大道4168号众冠时代广场(大学城地铁站D出口),supermarket,113.963944,22.582777,,False,True
海雅缤纷广场,南海大道2746号(南山书城地铁站A口旁),supermarket,113.929171,22.518621,,False,True
深圳市第二高级中学,创科路3号,school,113.936289,22.570307,,False,False
南头中学,深南大道12034号,school,113.917499,22.543187,,False,False
桃源居中澳实验学校,前进二路138号(西乡桃源地铁站A口步行110米),school,113.865526,22.609965,,False,False
深圳市蛇口育才教育集团育才中学,北环大道7366-7706号,school,113.996239,22.557728,,False,False
暨南大学(深圳校区),嘉应街2号,university,113.985902,22.539513,,False,False
深圳大学城国际校区(一期),长岭一号路,university,114.011636,22.592934,,False,False
南方科技大学,桃源街道福光社区学苑大道1088号,university,114.002365,22.599631,,False,False
深圳大学丽湖校区,学苑大道1066号,university,113.992239,22.598417,,False,False
哈尔滨工业大学(深圳校区),平山一路,university,113.970869,22.58679,,False,False
深圳大学粤海校区,南海大道3688号,university,113.936577,22.532641,,False,False
深圳职业技术大学(西丽校区西丽湖园区),沙河西路4089号,university,113.95029,22.588429,,False,False
深圳大学沧海校区,后海大道与白石路交叉口东南50米,university,113.939384,22.528107,,False,False
深圳职业技术大学西丽校区留仙洞园区,留仙大道7098号,university,113.938372,22.582161,,False,False
深圳职业技术大学(西丽校区官龙山园区),同发路113号,university,113.944295,22.592075,,False,False
香港理工大学,高新区南区粤兴一道18号,university,113.942937,22.531705,,False,False
中国工商银行(深圳南山支行),南新路2064之1-2,bank,113.919101,22.530823,,False,False
招商银行24小时自助银行(深圳安联支行),金田路4018号安联大厦B区1B01,atm,114.063676,22.542522,,False,True
招商银行24小时自助银行,深南大道2016号招商银行深圳分行大厦F1层,atm,114.052105,22.540894,,False,True
招商银行24小时自助银行(中央商务支行),福华一路88号中心商务大厦F1层,atm,114.05284,22.537175,,False,True
华强北(地铁站),2号线(8号线);7号线/西丽线,subway,114.085413,22.544441,,False,True
车公庙(地铁站),11号线/机场线;1号线/罗宝线;7号线/西丽线;9号线/梅林线,subway,114.02583,22.536247,,False,True
前海湾(地铁站),11号线/机场线;1号线/罗宝线;5号线/环中线,subway,113.897933,22.537335,,False,True
南山(地铁站),11号线/机场线;12号线/南宝线,subway,113.923483,22.524037,,False,True
后海(地铁站),11号线/机场线;13号线/石岩线;2号线(8号线),subway,113.943503,22.518172,,False,True
