name,address,type,type_code,lng,lat,facility_type,business_period,open_time,close_time,is_24h,night_ratio,night_service,tel,adcode,pcode,citycode,source
深圳市眼科医院,泽田路18号,医疗保健服务;专科医院;眼科医院|医疗保健服务;综合医院;三级甲等医院,090203|090101,114.014466,22.545914,hospital,,,,False,0.2,True,0755-23959510;0755-23959600,440304,440000,0755,amap
深圳市宝安人民医院,龙井二路118号,医疗保健服务;综合医院;三级甲等医院,090101,113.914854,22.562217,hospital,,,,False,0.2,True,0755-27788311,440306,440000,0755,amap
南方医科大学深圳医院,新湖路13号(新安地铁站E口步行260米),医疗保健服务;综合医院;三级甲等医院,090101,113.896065,22.544303,hospital,,,,False,0.2,True,0755-23329999,440306,440000,0755,amap
香港大学深圳医院,海园一路1号,医疗保健服务;综合医院;三级甲等医院,090101,113.996092,22.525518,hospital,,,,False,0.2,True,0755-86913333,440304,440000,0755,amap
深圳市南山区人民医院,桃园路89号,医疗保健服务;综合医院;三级甲等医院,090101,113.922873,22.530603,hospital,,,,False,0.2,True,0755-26553111,440305,440000,0755,amap
深圳市宝安中医院(集团),裕安二路25号,医疗保健服务;综合医院;三级甲等医院,090101,113.899183,22.571818,hospital,,,,False,0.2,True,0755-29629366,440306,440000,0755,amap
深圳大学总医院,桃源街道塘朗社区学苑大道1298号,医疗保健服务;综合医院;综合医院,090100,113.987481,22.594355,hospital,,,,False,0.2,True,0755-21839999;0755-21839165,440305,440000,0755,amap
南方科技大学医院,西丽街道留仙大道6019号,医疗保健服务;综合医院;综合医院,090100,113.949435,22.579685,hospital,,,,False,0.2,True,0755-25232188,440305,440000,0755,amap
宝安中心医院,广深路西乡段233号,医疗保健服务;综合医院;综合医院,090100,113.880095,22.580001,hospital,,,,False,0.2,True,0755-27956611;0755-27956811,440306,440000,0755,amap
深圳五洲中医院,西乡街道固兴社区固兴路68号(田心工业区爱美得A栋1层),医疗保健服务;综合医院;综合医院,090100,113.852662,22.605134,hospital,,,,False,0.2,True,0755-26719191;18938072250,440306,440000,0755,amap
深圳前海泰康医院,南山街道梦海大道3099号前海泰康医院201,医疗保健服务;综合医院;综合医院,090100,113.892325,22.514673,hospital,,,,False,0.2,True,13265679607;4000195522,440305,440000,0755,amap
深圳市前海蛇口自贸区医院,工业七路128号,医疗保健服务;综合医院;综合医院,090100,113.92218,22.49675,hospital,,,,False,0.2,True,0755-21606999,440305,440000,0755,amap
深圳恒生医院,银田路20号,医疗保健服务;综合医院;综合医院,090100,113.851793,22.576415,hospital,,,,False,0.2,True,0755-27791111,440306,440000,0755,amap
深圳市南山妇幼保健院,湾厦路1号(东角头地铁站D口步行110米),医疗保健服务;综合医院;三级甲等医院,090101,113.930351,22.487406,hospital,,,,False,0.2,True,0755-26566646,440305,440000,0755,amap
深圳禾正医院,龙苑路16号,医疗保健服务;综合医院;综合医院,090100,113.986312,22.56243,hospital,,,,False,0.2,True,4001120333,440305,440000,0755,amap
宝安纯中医治疗医院,来安路99号,医疗保健服务;综合医院;综合医院,090100,113.870977,22.606115,hospital,,,,False,0.2,True,0755-23288773,440306,440000,0755,amap
深圳市南山区医疗集团总部田厦社区健康服务中心,南新路2030-14号,医疗保健服务;综合医院;卫生院,090102,113.918825,22.528975,hospital,,,,False,0.2,True,0755-26460646,440305,440000,0755,amap
深圳华侨城医院,华侨城香山东街10号(侨城北地铁站B口步行160米),医疗保健服务;综合医院;综合医院,090100,113.990372,22.542019,hospital,,,,False,0.2,True,0755-26600223;0755-26900737;0755-26925881,440305,440000,0755,amap
香港大学深圳医院门诊部,海园一路1号香港大学深圳医院内,医疗保健服务;综合医院;三级甲等医院,090101,113.995173,22.525687,hospital,,,,False,0.2,True,[],440304,440000,0755,amap
深圳市宝安人民医院(集团)建安院区,创业二路4号(灵芝地铁站F口步行470米),医疗保健服务;综合医院;综合医院,090100,113.901035,22.565396,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
深圳沙河医院,沙河街32号(白石洲地铁站A口步行290米),医疗保健服务;综合医院;综合医院,090100,113.969237,22.541468,hospital,,,,False,0.2,True,0755-86658535;0755-86658948,440305,440000,0755,amap
香港大学深圳医院急诊科,海园一路1号香港大学深圳医院,医疗保健服务;综合医院;三级甲等医院,090101,113.995124,22.525517,hospital,,,,False,0.2,True,[],440304,440000,0755,amap
深圳大学总医院门诊部,桃源街道塘朗社区学苑大道1298号深圳大学总医院,医疗保健服务;综合医院;综合医院,090100,113.987615,22.594352,hospital,,,,False,0.2,True,0755-21839888,440305,440000,0755,amap
深圳市宝安人民医院门诊楼,宝城龙井二路118号深圳市宝安人民医院内,医疗保健服务;综合医院;三级甲等医院,090101,113.914745,22.561702,hospital,,,,False,0.2,True,0755-27788311,440306,440000,0755,amap
深圳市宝安中医院门诊,裕安二路25号深圳市宝安中医院内,医疗保健服务;综合医院;三级甲等医院,090101,113.899291,22.571656,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
深圳市宝安中医院(集团)西院区,文汇一街与裕安二路交叉口西80米,医疗保健服务;综合医院;三级甲等医院,090101,113.898469,22.571263,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
南方医科大学深圳医院住院部,新湖路13号南方医科大学深圳医院,医疗保健服务;综合医院;三级甲等医院,090101,113.895886,22.543477,hospital,,,,False,0.2,True,0755-23329999,440306,440000,0755,amap
深圳市宝安区中心医院航城社区医院,航城街道黄田社区凯成二路村内工业区17号,医疗保健服务;综合医院;卫生院,090102,113.84429,22.629986,hospital,,,,False,0.2,True,0755-29928616,440306,440000,0755,amap
深圳市宝安区中心医院福中福社区健康服务中心,西乡宝源路1009号广兴源互联网基地A区6栋101,医疗保健服务;综合医院;卫生院,090102,113.871241,22.562914,hospital,,,,False,0.2,True,0755-29957666,440306,440000,0755,amap
