name,address,facility_type,lng,lat,business_period,is_24h,night_service
北京协和医院西单院区,大木仓胡同41号,hospital,116.367298,39.912623,,False,True
首都医科大学附属北京儿童医院,南礼士路56号,hospital,116.354367,39.912501,,False,True
北京大学人民医院(白塔寺院区),阜成门内大街133号,hospital,116.366192,39.924732,,False,True
北京协和医院西院国际医疗部,大木仓胡同41号院,hospital,116.36817,39.913617,,False,True
北京大学第一医院(西城厂桥院区),西什库大街8号,hospital,116.380745,39.931911,,False,True
首都医科大学宣武医院,长椿街45号,hospital,116.361951,39.891136,,False,True
北京大学人民医院(西直门院区),西直门南大街11号(西直门地铁站D西南口步行390米),hospital,116.354215,39.936961,,False,True
北京中国人民解放军第三零五医院,文津街甲13号,hospital,116.384425,39.92603,,False,True
北京家圆医院,富国街2号,hospital,116.367236,39.93092,,False,True
中国中医科学院广安门医院,北线阁5号,hospital,116.35173,39.890596,,False,True
首都医科大学附属复兴医院,复兴门外大街甲20号,hospital,116.340022,39.905587,,False,True
北京积水潭医院(新街口院区),新街口东街31号,hospital,116.37482,39.944269,,False,True
北京市西城区金融街社区卫生服务中心,复兴门内大街45号院2号楼1层,hospital,116.371545,39.908315,,False,True
北京市西城区展览路社区卫生服务中心(阜外北街),阜成门外北街201号,hospital,116.346483,39.923877,,False,True
北京西城区平安医院,赵登禹路169号(平安大道)(平安里地铁站K口旁),hospital,116.367853,39.934656,,False,True
北京核工业医院(总部院区),三里河南四巷2号,hospital,116.339282,39.91319,,False,True
首都医科大学附属北京中医医院,美术馆后街23号(南锣鼓巷地铁站F东北口步行480米),hospital,116.407913,39.931876,,False,True
北京鹤年堂中医医院,广安门内大街6号1-2,hospital,116.372607,39.888644,,False,True
月坛社区卫生服务中心,真武庙六里7号,hospital,116.34906,39.902317,,False,True
展览路医院,桃柳园西巷16号,hospital,116.349072,39.937415,,False,True
中国人民解放军总医院第六医学中心,阜成路6号(白堆子地铁站D西南口步行160米),hospital,116.324117,39.921941,,False,True
首都医科大学附属北京友谊医院西城院区,永安路95号,hospital,116.392125,39.885153,,False,True
北京中医药大学附属护国寺中医医院住院院区,棉花胡同83号,hospital,116.376153,39.936515,,False,True
北京协和医院(东单院区),帅府园1号,hospital,116.41513,39.912815,,False,True
北京中医药大学附属护国寺中医医院,棉花胡同83号,hospital,116.376175,39.936525,,False,True
同仁堂中医医院,西打磨厂街46号,hospital,116.409275,39.898596,,False,True
王府井同仁堂中医医院,东安门大街23号,hospital,116.409218,39.915693,,False,True
西长安街社区卫生服务中心,油坊胡同52号(宣武门地铁站F东北口步行240米),hospital,116.376698,39.901603,,False,True
西城区椿树社区卫生服务中心,琉璃厂西街63号,hospital,116.381654,39.895484,,False,True
北京市宣武中医医院,万明路13号,hospital,116.388963,39.887553,,False,True
北京医院,东单大华路1号,hospital,116.415057,39.903772,,False,True
北京市健宫医院,菜市口南大街儒福里6号(陶然亭地铁站C东南口步行300米),hospital,116.375757,39.880853,,False,True
北京市回民医院,右安门内大街11号,hospital,116.362801,39.882113,,False,True
首都医科大学附属北京安定医院,安康胡同5号,hospital,116.376791,39.952767,,False,True
西城区广内社区卫生服务中心,校场五条49号,hospital,116.371462,39.894426,,False,True
北京协和医院东单院区国际医疗部,东单协和医院内科楼最南端,hospital,116.4163,39.912217,,False,True
北京市羊坊店医院,羊坊店双贝子坟路1号,hospital,116.332639,39.899918,,False,True
北京市隆福医院美术馆院区,美术馆东街18号(中国美术馆地铁站B东北口步行220米),hospital,116.411294,39.926811,,False,True
首都医科大学附属北京同仁医院·西区,东交民巷1号,hospital,116.417224,39.902721,,False,True
新街口社区卫生服务中心,后半壁街19号(西直门地铁站B东北口步行290米),hospital,116.359294,39.939827,,False,True
北京德胜门中医院,德胜门外大街200号,hospital,116.379969,39.952059,,False,True
什刹海社区卫生服务中心,新街口正觉夹道甲13号,hospital,116.374216,39.940312,,False,True
甘家口社区卫生服务中心(阜成路北一街),增光路甲57号,hospital,116.329931,39.927446,,False,True
北京长安中西医结合医院,枣林前街19号,hospital,116.362432,39.883612,,False,True
北京世纪坛医院,羊坊店铁医路10号,hospital,116.318681,39.899343,,False,True
大栅栏社区卫生服务中心,煤市街152号(珠市口地铁站A西北口步行470米),hospital,116.394826,39.892775,,False,True
北太平庄社区卫生服务中心,文慧园6号楼,hospital,116.36315,39.950788,,False,True
牛街社区卫生服务中心,培育胡同15号,hospital,116.367957,39.887247,,False,True
中国人民解放军火箭军特色医学中心,新街口外大街16号院,hospital,116.372456,39.956684,,False,True
北京中医医院明医馆,美术馆后街23号首都医科大学附属北京中医医院,hospital,116.408628,39.930476,,False,True
北京中医药大学东直门医院国际部,东四北大街279号(张自忠路地铁站D西南口步行280米),hospital,116.416659,39.930733,,False,True
首都医科大学附属北京中医医院门诊,美术馆后街23号(北京中医医院),hospital,116.40824,39.931786,,False,True
北京市西城区广外医院,广外三义里甲2号(湾子地铁站C东南口步行290米),hospital,116.331259,39.88876,,False,True
首都医科大学附属北京友谊医院西城院区东区,永安路36首都医科大学附属北京友谊医院,hospital,116.393811,39.885534,,False,True
北京和睦家中西医结合医院,西总布胡同46号明阳国际中心A座,hospital,116.423473,39.911466,,False,True
宣武流动医院,广安门外大街甲2号,hospital,116.345893,39.889174,,False,True
北京市第六医院,交道口北二条36号,hospital,116.41295,39.942626,,False,True
北京晶珠中医医院,精忠街5号,hospital,116.402878,39.887847,,False,True
北京市肛肠医院,德外大街16号,hospital,116.380225,39.959576,,False,True
西城区白纸坊社区卫生服务中心,新安中里4号(近右安门内大街),hospital,116.363322,39.877456,,False,True
北京中医药大学东方医院南院区,四海路3号,pharmacy,116.485433,39.756471,,False,True
河北燕达医院,燕郊开发区燕郊经济技术开发区思菩兰路燕达国际健康城,pharmacy,116.791095,39.93635,,False,True
北京西京中医医院,丰管路16号1号楼,pharmacy,116.312035,39.856025,,False,True
北京中仁中医医院,学院南路12号科技园孵化大厦A座1层A101,pharmacy,116.364693,39.956825,,False,True
北京市第一中西医结合医院中草药房,金台路13号2号,pharmacy,116.472194,39.91642,,False,True
中国中医科学院西苑医院颗粒药房,西苑操场1号,pharmacy,116.293004,39.994155,,False,True
中国中医科学院西苑医院中药煎药楼,西苑操场1号中国中医科学院西苑医院,pharmacy,116.292734,39.995164,,False,True
首都医科大学附属北京安贞医院门诊,安贞路2号安贞医院门诊部1层,pharmacy,116.402564,39.972297,,False,True
惠多港购物中心,黄厂路(恒大御景湾西南侧约50米),supermarket,116.550713,39.850318,,False,True
北京华联BHG Mall(同成街店),育知东路30号(回龙观地铁站A2口步行130米),supermarket,116.337566,40.07203,,False,True
北京华联购物中心(北京平谷店),迎宾街1号院22号楼,supermarket,117.094184,40.146642,,False,True
棕榈泉生活广场,朝阳公园南路8号(朝阳公园地铁站D1西南口步行260米),supermarket,116.4788,39.931954,,False,True
北京华联超市(BHGMall顺义金街店店),BHGMall顺义金街店B1层,supermarket,116.652492,40.128171,,False,True
上品宜购城市奥特莱斯,北京城区马连道路10号,supermarket,116.327515,39.882948,,False,True
百发隆购物中心,台湖镇,supermarket,116.578575,39.802607,,False,True
便利蜂(丰汇园小区丰汇时代大厦店),丰汇园11号楼丰汇时代大厦一层商业2-1,convenience,116.364503,39.915809,,False,True
便利蜂(通港大厦店),华远北街2号通港大厦1层101,convenience,116.372792,39.913134,,False,True
7-ELEVEn(北京君太百货店),西单北大街133号北京君太百货,convenience,116.372899,39.909978,,False,True
好邻居(二龙路店),二龙路甲41-2号(太平桥地铁站A口步行420米),convenience,116.366907,39.910022,,False,True
