id,housetitle,address,quxian,shangquan,sqpinyin,money,price_per_m2,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply
1,星海花园,深圳市南山区高新南七道104号,南山,粤海,粤海,996,279.9264218662403,113.916231,22.546877,OK,high_end,9265,2015,35599.45,1.49
2,金地雅园,深圳市南山区科苑路22号,南山,粤海,粤海,247,123.22370567394016,113.93485,22.527444,OK,commodity_housing,9949,2018,20077.88,1.795
3,华润豪庭,深圳市南山区高新南一道108号,南山,粤海,粤海,1516,267.77639420895207,113.935645,22.528029,OK,high_end,5747,2010,56636.18,1.474
4,中海公馆,深圳市南山区高新南七道89号,南山,粤海,粤海,1290,159.75773894779192,113.918479,22.526518,OK,high_end,6556,2014,80754.49,1.302
5,万科苑,深圳市南山区高新南七道2号,南山,粤海,粤海,442,188.81699724000254,113.957109,22.52315,OK,high_end,3775,2016,23438.85,1.855
6,招商邸,深圳市南山区科苑路190号,南山,粤海,粤海,257,111.4827893358836,113.92981,22.530638,OK,commodity_housing,10989,2010,23131.33,1.705
7,华侨城居,深圳市南山区南海大道188号,南山,粤海,粤海,2254,238.01267484957725,113.953239,22.518945,OK,high_end,9863,2013,94732.01,1.729
8,花样年家园,深圳市南山区高新南一道81号,南山,粤海,粤海,451,209.23222772633545,113.931195,22.526954,OK,high_end,3064,2013,21563.64,1.454
9,佳兆业名苑,深圳市南山区南海大道48号,南山,粤海,粤海,2424,217.41760112073052,113.929679,22.506525,OK,high_end,9184,2013,111495.97,1.71
10,龙光邸,深圳市南山区深圳湾口岸175号,南山,粤海,粤海,1849,220.8322387742924,113.92211,22.541586,OK,high_end,5731,2012,83755.75,1.732
11,卓越花园,深圳市南山区深圳湾口岸179号,南山,粤海,粤海,591,81.77933887208667,113.930124,22.507264,OK,commodity_housing,9938,2011,72273.28,1.457
12,华联雅园,深圳市南山区深圳湾口岸143号,南山,粤海,粤海,690,97.45045604042124,113.952473,22.531496,OK,commodity_housing,8116,2011,70857.07,1.853
13,天悦豪庭,深圳市南山区高新南七道28号,南山,粤海,粤海,1404,124.33826295572965,113.935223,22.521598,OK,commodity_housing,8915,2018,112969.77,1.685
14,龙瑞公馆,深圳市南山区南海大道129号,南山,粤海,粤海,550,104.94084866538824,113.937297,22.539434,OK,commodity_housing,8450,2016,52434.5,1.273
15,阳光苑,深圳市南山区高新南一道172号,南山,粤海,粤海,679,95.54754673295112,113.936653,22.539844,OK,commodity_housing,11901,2009,71074.73,1.45
16,翠湖邸,深圳市南山区高新南七道12号,南山,粤海,粤海,1336,148.02474579046725,113.935174,22.532709,OK,commodity_housing,4495,2010,90301.9,1.418
17,碧海居,深圳市南山区高新南七道160号,南山,粤海,粤海,1903,171.73423081368347,113.934844,22.541922,OK,high_end,8855,2012,110826.59,1.344
18,金湾家园,深圳市南山区深圳湾口岸116号,南山,粤海,粤海,1540,270.47096345698435,113.919313,22.522586,OK,high_end,3202,2013,56965.45,1.345
19,银湖名苑,深圳市南山区高新南一道148号,南山,粤海,粤海,1349,256.67242986570267,113.946107,22.526839,OK,high_end,3659,2011,52595.89,1.573
20,玉泉邸,深圳市南山区高新南七道185号,南山,粤海,粤海,1001,170.62814162189898,113.932012,22.524139,OK,high_end,4959,2012,58673.53,1.762
21,宝安花园,深圳市南山区科苑路129号,南山,粤海,粤海,1190,117.07554048492045,113.954585,22.544935,OK,commodity_housing,9287,2010,101722.22,1.533
22,瑞景雅园,深圳市南山区高新南一道148号,南山,粤海,粤海,1395,258.8933518305359,113.955945,22.541872,OK,high_end,10158,2016,53902.98,1.41
23,盛世豪庭,深圳市南山区深圳湾口岸146号,南山,粤海,粤海,264,126.4451238375639,113.951568,22.513775,OK,commodity_housing,11445,2015,20919.71,1.605
24,雅居公馆,深圳市南山区深圳湾口岸48号,南山,粤海,粤海,409,96.607436124776,113.943167,22.541014,OK,commodity_housing,3956,2017,42426.93,1.627
25,锦绣苑,深圳市南山区深圳湾口岸51号,南山,粤海,粤海,1329,187.56927279083763,113.934599,22.509815,OK,high_end,7555,2011,70881.41,1.582
26,绿景邸,深圳市南山区高新南七道61号,南山,粤海,粤海,1187,140.4917295550332,113.94876,22.516912,OK,commodity_housing,7893,2017,84510.34,1.77
27,振业居,深圳市南山区南海大道37号,南山,粤海,粤海,1222,105.9111090178811,113.918984,22.528081,OK,commodity_housing,5205,2010,115392.86,1.749
