name,address,location,tel,type,type_code,keyword,business_period,open_time,close_time,is_24h,night_ratio,night_service,pcode,citycode,adcode,gridcode,timestamp,night_service_inferred,night_prob
北京大学深圳医院,莲花路1120号,"114.049251,22.556441",0755-83923333,医疗保健服务;综合医院;三级甲等医院,090101,医院,,,,False,0.0,False,440000,755,440304,3314606322,2026-05-21T20:18:13.578398,False,0.02
中山大学附属第八医院,深南中路3025号,"114.079554,22.538751",0755-83982222;4001191160,医疗保健服务;综合医院;三级甲等医院,090101,医院,,,,False,0.0,False,440000,755,440304,3314604611,2026-05-21T20:18:14.124614,False,0.02
广州中医药大学深圳医院,北环大道6001号(梅景地铁站A2口步行340米),"114.042405,22.559122",0755-83548611;0755-83549999,医疗保健服务;综合医院;三级甲等医院,090101,医院,,,,False,0.0,False,440000,755,440304,3314607301,2026-05-21T20:18:14.775922,False,0.02
深圳景田医院,商报路9号,"114.042064,22.549234",0755-83921555,医疗保健服务;综合医院;综合医院,090100,医院,,,,False,0.0,False,440000,755,440304,3314605321,2026-05-21T20:18:15.327174,False,0.15
深圳市中医院福田院区,福华路1号,"114.085633,22.537003",0755-88359666;0755-88359899,医疗保健服务;综合医院;三级甲等医院,090101,医院,,,,False,0.0,False,440000,755,440304,3314604612,2026-05-21T20:18:15.929324,False,0.15
深圳市第二人民医院,笋岗西路3002号,"114.085740,22.557275",0755-83366388,医疗保健服务;综合医院;三级甲等医院,090101,医院,,,,False,0.0,False,440000,755,440304,3314606622,2026-05-21T20:18:16.605405,False,0.15
深圳新风和睦家医院,沙头街道新洲社区福强路4012号新风大厦一层(负2层-27层),"114.044796,22.520622",4008919191,医疗保健服务;综合医院;综合医院,090100,医院,,,,False,0.0,False,440000,755,440304,3314602311,2026-05-21T20:18:17.159620,False,0.15
福田区第三人民医院,新沙路9号,"114.044428,22.529460",0755-36558333,医疗保健服务;综合医院;综合医院,090100,医院,,,,False,0.0,False,440000,755,440304,3314603311,2026-05-21T20:18:17.745123,False,0.15
福田区第二人民医院(中康院区),中康路25、27号,"114.058843,22.566448",0755-83110237,医疗保健服务;综合医院;综合医院,090100,医院,,,,False,0.0,False,440000,755,440304,3314607422,2026-05-21T20:18:18.300245,False,0.15
深圳市福田区景田社区健康服务中心,景田南四街18号(香蜜三村香居阁二楼街铺),"114.047765,22.545712",0755-82924094;0755-83948257,医疗保健服务;综合医院;卫生院,090102,医院,,,,False,0.0,False,440000,755,440304,3314605312,2026-05-21T20:18:18.980857,False,0.15
