id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply,price_per_m2,res_building_dist_deg,res_building_dist_m,res_building_area_m2,res_building_type,pop_by_area,density_adj,population_est
1,星海花园,深圳市南山区高新南七道104号,南山,粤海,粤海,996,113.916231,22.546877,OK,high_end,9265,2015,35599.45,1.49,279.9264218662403,0.0003534940934461,39.23784437252677,204.20846020679045,yes,2221,0.7,1702
2,金地雅园,深圳市南山区科苑路22号,南山,粤海,粤海,247,113.93485,22.527444,OK,commodity_housing,9949,2018,20077.88,1.795,123.22370567394016,0.0003471933886305,38.53846613799252,1833.3627951500928,commercial,1252,1.0,1371
3,华润豪庭,深圳市南山区高新南一道108号,南山,粤海,粤海,1516,113.935645,22.528029,OK,high_end,5747,2010,56636.18,1.474,267.77639420895207,0.0006092296675622,67.62449309940705,1796.4187723762868,commercial,3533,0.7,2709
4,中海公馆,深圳市南山区高新南七道89号,南山,粤海,粤海,1290,113.918479,22.526518,OK,high_end,6556,2014,80754.49,1.302,159.75773894779192,0.000432974188532,48.06013492706302,910.7971738688892,commercial,5038,0.7,3863
5,万科苑,深圳市南山区高新南七道2号,南山,粤海,粤海,442,113.957109,22.52315,OK,high_end,3775,2016,23438.85,1.855,188.8169972400025,0.0019153138829503,212.599841007484,199.84233048036336,yes,1462,0.7,1121
6,招商邸,深圳市南山区科苑路190号,南山,粤海,粤海,257,113.92981,22.530638,OK,commodity_housing,10989,2010,23131.33,1.705,111.4827893358836,0.0001333801816651,14.805200164831442,975.9534577300416,dormitory,1443,1.0,1581
7,华侨城居,深圳市南山区南海大道188号,南山,粤海,粤海,2254,113.953239,22.518945,OK,high_end,9863,2013,94732.01,1.729,238.01267484957725,0.0039081250386815,433.8018792936485,76.14581166004973,yes,5910,0.7,4533
8,花样年家园,深圳市南山区高新南一道81号,南山,粤海,粤海,451,113.931195,22.526954,OK,high_end,3064,2013,21563.64,1.454,209.23222772633545,0.000470654511665,52.24265079481653,1744.062736444555,commercial,1345,0.7,1031
9,佳兆业名苑,深圳市南山区南海大道48号,南山,粤海,粤海,2424,113.929679,22.506525,OK,high_end,9184,2013,111495.97,1.71,217.41760112073047,0.0001730307375719,19.20641187048693,323.37918097209547,apartments,6956,0.7,5335
10,龙光邸,深圳市南山区深圳湾口岸175号,南山,粤海,粤海,1849,113.92211,22.541586,OK,high_end,5731,2012,83755.75,1.732,220.8322387742924,0.0002344355434515,26.02234532311913,456.1486591518379,apartments,5225,0.7,4007
11,卓越花园,深圳市南山区深圳湾口岸179号,南山,粤海,粤海,591,113.930124,22.507264,OK,commodity_housing,9938,2011,72273.28,1.457,81.77933887208667,0.0004501042657087,49.96157349367445,506.9318819217452,apartments,4509,1.0,4941
12,华联雅园,深圳市南山区深圳湾口岸143号,南山,粤海,粤海,690,113.952473,22.531496,OK,commodity_housing,8116,2011,70857.07,1.853,97.45045604042124,0.0033221345498223,368.7569350302845,1034.5490659431252,yes,4420,1.0,4843
13,天悦豪庭,深圳市南山区高新南七道28号,南山,粤海,粤海,1404,113.935223,22.521598,OK,commodity_housing,8915,2018,112969.77,1.685,124.33826295572965,0.0010486578088124,116.40101677817684,8890.83478868139,yes,7048,1.0,7723
14,龙瑞公馆,深圳市南山区南海大道129号,南山,粤海,粤海,550,113.937297,22.539434,OK,commodity_housing,8450,2016,52434.5,1.273,104.94084866538824,0.0018047101091738,200.3228221182954,674.6862326976155,yes,3271,1.0,3584
15,阳光苑,深圳市南山区高新南一道172号,南山,粤海,粤海,679,113.936653,22.539844,OK,commodity_housing,11901,2009,71074.73,1.45,95.54754673295112,0.0020153972867398,223.7090988281239,501.785548714785,yes,4434,1.0,4858
16,翠湖邸,深圳市南山区高新南七道12号,南山,粤海,粤海,1336,113.935174,22.532709,OK,commodity_housing,4495,2010,90301.9,1.418,148.02474579046725,0.000824198236038,91.48600420021953,4355.321361040733,yes,5633,1.0,6172
17,碧海居,深圳市南山区高新南七道160号,南山,粤海,粤海,1903,113.934844,22.541922,OK,high_end,8855,2012,110826.59,1.344,171.73423081368347,0.0006093257925857,67.63516297701636,642.3331200839934,yes,6914,0.7,5302
18,金湾家园,深圳市南山区深圳湾口岸116号,南山,粤海,粤海,1540,113.919313,22.522586,OK,high_end,3202,2013,56965.45,1.345,270.47096345698435,0.0001371980512724,15.228983691241346,792.5714571507657,apartments,3554,0.7,2725
19,银湖名苑,深圳市南山区高新南一道148号,南山,粤海,粤海,1349,113.946107,22.526839,OK,high_end,3659,2011,52595.89,1.573,256.67242986570267,0.0002756429074376,30.59636272557634,3377.256651006998,yes,3281,0.7,2515
20,玉泉邸,深圳市南山区高新南七道185号,南山,粤海,粤海,1001,113.932012,22.524139,OK,high_end,4959,2012,58673.53,1.762,170.62814162189898,0.0003074789603859,34.13016460284112,1155.1341285900112,commercial,3660,0.7,2807
21,宝安花园,深圳市南山区科苑路129号,南山,粤海,粤海,1190,113.954585,22.544935,OK,commodity_housing,9287,2010,101722.22,1.533,117.07554048492044,0.0018041038427175,200.2555265416465,2374.557440435819,commercial,6346,1.0,6954
22,瑞景雅园,深圳市南山区高新南一道148号,南山,粤海,粤海,1395,113.955945,22.541872,OK,high_end,10158,2016,53902.98,1.41,258.8933518305359,0.0031820288225023,353.2051992977576,1578.6181180214571,commercial,3362,0.7,2578
23,盛世豪庭,深圳市南山区深圳湾口岸146号,南山,粤海,粤海,264,113.951568,22.513775,OK,commodity_housing,11445,2015,20919.71,1.605,126.4451238375639,0.0037474837581177,415.9706971510687,145.73474292803206,yes,1305,1.0,1430
24,雅居公馆,深圳市南山区深圳湾口岸48号,南山,粤海,粤海,409,113.943167,22.541014,OK,commodity_housing,3956,2017,42426.93,1.627,96.607436124776,0.0001261215996457,13.999497560673632,401.0255803681324,yes,2646,1.0,2899
25,锦绣苑,深圳市南山区深圳湾口岸51号,南山,粤海,粤海,1329,113.934599,22.509815,OK,high_end,7555,2011,70881.41,1.582,187.56927279083763,0.0005244594424711,58.21499811429744,2425.0914861391543,commercial,4422,0.7,3391
26,绿景邸,深圳市南山区高新南七道61号,南山,粤海,粤海,1187,113.94876,22.516912,OK,commodity_housing,7893,2017,84510.34,1.77,140.4917295550332,0.0028349474467392,314.6791665880541,2997.313644264775,yes,5272,1.0,5777
27,振业居,深圳市南山区南海大道37号,南山,粤海,粤海,1222,113.918984,22.528081,OK,commodity_housing,5205,2010,115392.86,1.749,105.9111090178811,0.0003887021206388,43.14593539090939,1711.305684008517,yes,7199,1.0,7888
28,金成家园,深圳市南山区深圳湾口岸160号,南山,粤海,粤海,2259,113.945794,22.522781,OK,high_end,3606,2015,116362.0,1.832,194.16733381043787,0.0006353067538308,70.51904967522614,20.332366076699284,yes,7259,0.7,5567
