name,address,type,type_code,lng,lat,facility_type,business_period,open_time,close_time,is_24h,night_ratio,night_service,tel,adcode,pcode,citycode,source
深圳华侨城医院,华侨城香山东街10号(侨城北地铁站B口步行160米),医疗保健服务;综合医院;综合医院,090100,113.990372,22.542019,hospital,,,,False,0.2,True,0755-26600223;0755-26900737;0755-26925881,440305,440000,0755,amap
深圳大学总医院,桃源街道塘朗社区学苑大道1298号,医疗保健服务;综合医院;综合医院,090100,113.987481,22.594355,hospital,,,,False,0.2,True,0755-21839999;0755-21839165,440305,440000,0755,amap
深圳沙河医院,沙河街32号(白石洲地铁站A口步行290米),医疗保健服务;综合医院;综合医院,090100,113.969237,22.541468,hospital,,,,False,0.2,True,0755-86658535;0755-86658948,440305,440000,0755,amap
南方科技大学医院,西丽街道留仙大道6019号,医疗保健服务;综合医院;综合医院,090100,113.949435,22.579685,hospital,,,,False,0.2,True,0755-25232188,440305,440000,0755,amap
南方科技大学附属医院(建设中),桃源街道塘朗社区学苑大道北侧紧邻大沙河,医疗保健服务;综合医院;综合医院,090100,114.006293,22.597051,hospital,,,,False,0.2,True,0755-86163017,440305,440000,0755,amap
深圳市南山区人民医院,桃园路89号,医疗保健服务;综合医院;三级甲等医院,090101,113.922873,22.530603,hospital,,,,False,0.2,True,0755-26553111,440305,440000,0755,amap
深圳市前海蛇口自贸区医院,工业七路128号,医疗保健服务;综合医院;综合医院,090100,113.92218,22.49675,hospital,,,,False,0.2,True,0755-21606999,440305,440000,0755,amap
深圳市南山区医疗集团总部大磡社区健康服务中心,西丽大磡工业路园丁楼对面综合楼一、二层,医疗保健服务;综合医院;卫生院,090102,113.975252,22.618481,hospital,,,,False,0.2,True,0755-86330191,440305,440000,0755,amap
深圳退役军人医院,西丽街道留仙大道6019号南方科技大学医院门诊B栋五楼,医疗保健服务;综合医院;综合医院,090100,113.949505,22.579542,hospital,,,,False,0.2,True,18129964738,440305,440000,0755,amap
南山区医疗集团总部丽城社区健康服务中心,沿河路10-2号,医疗保健服务;综合医院;卫生院,090102,113.958765,22.583212,hospital,,,,False,0.2,True,0755-86005891,440305,440000,0755,amap
南山区中医院(建设中),北环大道10024号,医疗保健服务;综合医院;综合医院,090100,113.926782,22.554701,hospital,,,,False,0.2,True,[],440305,440000,0755,amap
