lon,lat,name,shop,opening_hours,brand,amenity,addr_distr,cuisine
113.9191507,22.5205351,崇尚百货,supermarket,,,,,
113.9113646,22.4882206,Gugu Bread,bakery,,,,,
113.9192101,22.531552,捷安特南山专卖店,bicycle,,,,,
113.9096668,22.5316699,人人乐,supermarket,,,,,
113.9211218,22.5299613,学府路人人乐超市,supermarket,,,,,
113.9616417,22.5348684,金沙湾,massage,,,,,
113.961565,22.534815,金沙湾休闲会所,massage,,,,,
113.9327853,22.5197536,后海天虹,mall,,,,,
113.9275532,22.5298021,,bicycle,,,,,
113.9253833,22.5292094,,supermarket,,,,,
113.927556,22.5304655,7-Eleven,convenience,,,,,
113.927556,22.530686,,bakery,,,,,
113.9202126,22.5316574,赛格电子市场,computer,,,,,
113.9179581,22.488295,Backstube 德国面包坊,bakery,,,,,
113.9242258,22.5216816,,supermarket,,,,,
113.9253566,22.5223101,,supermarket,,,,,
113.9895513,22.5243562,,kiosk,,,,,
113.9574924,22.521675,,kiosk,,,,,
113.9867164,22.5264762,曲水湾,mall,,,,,
113.950148,22.5375022,onemos kingdee,mobile_phone,,,,,
113.9242335,22.5023933,华城超市,supermarket,,,,,
113.9274486,22.5031305,新生活百货,convenience,,,,,
113.9286073,22.5027445,瑞朋宠物医院,pet,,,,,
113.9278113,22.5029696,,kiosk,,,,,
113.9299839,22.5031212,,kiosk,,,,,
113.9263935,22.4978843,钱大妈,greengrocer,,钱大妈,,,
113.9425004,22.5445206,Oberthur Card System Science and Technology,electronics,,,,,
113.9177953,22.489803,,beverages,,,,,
113.9183711,22.488283,,butcher,,,,,
113.9402074,22.5439651,华润万家,supermarket,07:30-23:30,华润万家,,,
113.9468644,22.5415382,7-Eleven,convenience,24/7,7-Eleven,,,
113.9495737,22.5425744,Vayee,convenience,,,,,
113.9490969,22.5655703,,convenience,,,,,
113.9177268,22.50351,Decathlon,sports,,Decathlon,,,
113.9117195,22.4865264,7-Eleven,convenience,24/7,7-Eleven,,,
113.9157649,22.4872369,,travel_agency,,,,,
113.9084091,22.4837923,Silver Palate,convenience,,,,,
113.9081125,22.4822263,,pet,,,,,
113.9083884,22.4835818,Hui Fa Shop,convenience,,,,,
113.9097495,22.4869029,,hairdresser,,,,,
113.9111259,22.4863163,Take,seafood,,,,,
113.9099635,22.487151,,florist,,,,,
113.9118062,22.4869193,中国联通,telecommunication,,中国联通,,,
113.9119507,22.4870546,MakerBlock,radiotechnics,,,,,
113.9097571,22.4869366,,convenience,,,,,
113.9086781,22.4840936,International,supermarket,10:30-21:30,,,,
113.9083883,22.4836873,,convenience,,,,,
113.9082151,22.482853,,laundry,10:00-18:00,,,,
113.908727,22.4816251,,travel_agency,,,,,
113.9113908,22.4877059,SPA4,massage,,,,,
113.9115639,22.4878267,,beauty,,,,,
113.9098768,22.4870732,,wine,,,,,
113.9011303,22.5646903,,optician,,,,,
113.9273159,22.5489152,7-Eleven,convenience,,7-Eleven,,,
113.960926,22.5598386,顺电,electronics,,顺电,,,
113.9346924,22.5259898,7-Eleven,convenience,24/7,7-Eleven,,,
113.9009909,22.5697419,麦德龙,wholesale,,麦德龙,,,
113.9012145,22.5624552,Zara,clothes,,Zara,,,
113.9012744,22.5628328,Casio,watches,,,,,
113.9005178,22.5618592,H&M,clothes,,H&M,,,
113.9013274,22.5627698,Crocs,shoes,,Crocs,,,
113.9235193,22.5293563,南山眼镜城,optician,,,,,
113.9229079,22.5290386,百里臣,convenience,24/7,,,,
113.9224857,22.529592,西部电子,computer,,,,,
113.9198025,22.5302072,苏宁易购,electronics,,苏宁易购,,,
113.9201529,22.5305865,国美电器,electronics,,国美电器,,,
113.9879618,22.5391928,emoi基本生活,yes,,,,,
113.9883793,22.5395586,鹊尔斯酒窖,wine,,,,,
113.9870663,22.5411722,诚兴生活超市,supermarket,,,,,
113.9879404,22.5425364,旧天堂书店,books,,,,,
113.9343238,22.520808,潮流广场,department_store,,,,,
113.9113493,22.4865104,海上世界A区,mall,,,,,
113.9106968,22.4870144,海上世界中心广场,mall,,,,,
113.9317439,22.5203559,Zara,clothes,,Zara,,,
113.9870063,22.5248803,大疆创新,electronics,,大疆创新,,,
113.9710569,22.5398506,Apple Store,electronics,Su-Th 10:00-22:00; Fr-Sa 10:00 - 22:30,Apple Store,,南山区,
113.9113126,22.4895313,招商局自貿商城,department_store,,,,,
113.9625479,22.5386182,,supermarket,,,,,
113.9633212,22.5337222,沙河天虹商场,mall,,,,,
113.9080138,22.4876139,7-Eleven,convenience,,7-Eleven,,,
113.9625337,22.5387617,,mobile_phone,,,,,
113.9184813,22.4969411,Stationary Store,stationery,,,,,
113.9148201,22.4996645,Teddy's Bicycle Shop,bicycle,,,,,
113.9220977,22.4947528,Ming's Tool Shop,doityourself,,,,,
113.9218647,22.4891736,All Boltz Bolt Store,doityourself,,,,,
113.9217668,22.4892024,Lumber Shop,doityourself,,,,,
113.9625997,22.5384974,,convenience,24/7,,,,
113.9328924,22.5356953,自助水果店,greengrocer,24/7,,,,
113.9318872,22.513229,龙成生活超市,supermarket,,,,,
113.9191187,22.5267226,,convenience,,,,,
113.9213294,22.5181682,,supermarket,,,,,
113.9232045,22.5816088,,computer,,,,,
113.9937371,22.6029197,湖畔超市,convenience,,,,,
113.9817274,22.5369836,华侨城旅行社 总部,travel_agency,,华侨城旅行社,,,
113.9219681,22.503224,,bicycle,,,,,
113.9505404,22.5828889,小米之家,mobile_phone,,小米,,,
113.9295794,22.4929271,哈茶世家,beverages,,,,,
113.9262914,22.4894981,有家便利店,convenience,,,,,
113.9628131,22.5390976,,tobacco,,,,,
113.9627146,22.5387319,深岩燃气,gas,,,,,
113.9634059,22.538634,,frame,,,,,
113.9625125,22.5383892,,supermarket,,,,,
113.9619347,22.5384133,,convenience,,,,,
113.9625688,22.5381693,,convenience,,,,,
113.9624197,22.5380309,,furniture,,,,,
113.9229387,22.508152,,ticket,,,,,
113.9301361,22.5201275,A BITE,supermarket,Mo-Su 10:00-22:00,ABITE市集,,南山区,
113.9548375,22.5735125,华润万家,supermarket,,华润万家,,,
113.9342515,22.5433509,BMW 宝马,car,,BMW,,,
113.9864788,22.5422358,明恩便利店,convenience,,,,,
113.9866834,22.5420186,,bakery,,,,,
113.9123134,22.4885177,Bolun,beauty,,,,,
113.9141178,22.4951446,山雀,bakery,Tu-Su 09:00-19:00,,,,
113.932701,22.5208698,曼思諾,bakery,Mo-Su 07:00-23:00,,,,
113.9127119,22.5427932,院內鮮果,greengrocer,,,,,
113.9291916,22.5213548,苏宁易购,electronics,,苏宁易购,,,
113.9304516,22.5211319,天利名城购物中心,mall,,,,,
113.9441,22.5278304,,laundry,,,,,
113.9434209,22.5275837,,laundry,,,,,
113.9131559,22.5428119,Backerei Thomas德國麵包世家（南新店）,bakery,06:00-21:30,,,,
113.9359629,22.4923853,花花公子,florist,Mo-Su 10:00-22:00,,,,
113.9619272,22.5381958,,convenience,24/7,,,,
113.9170152,22.5358464,南山常兴天虹,mall,,天虹,,,
113.9943646,22.6044297,学生宿舍13栋,convenience,Mo-Su 08:00-19:00,,post_office,,
113.9325869,22.5211757,亚洲眼镜,optician,,,,,
113.9971877,22.6063306,创园印务,copyshop,,,,,
113.9318207,22.5357893,,books,,,,,
113.9400596,22.595606,卜蜂莲花,supermarket,,,,,
113.936163,22.5849077,卜蜂莲花,supermarket,,,,,
113.9888021,22.5421946,Alliance Art Group,art,,,,,
113.9886775,22.5421687,Cosmohouse,art,,,,,
113.9875562,22.5426098,白墙,photo,,,,,
113.9868007,22.5260008,小米体验中心,electronics,,,,,
113.9858485,22.5270198,QQfamily,toys,,,,,
113.9863365,22.5263058,华为,mobile_phone,,华为,,,
113.986047,22.526369,HEA,clothes,,,,,
113.9873005,22.5270041,taste品味,collector,,,,,
113.9842376,22.5287223,Lego,toys,,Lego,,,
113.9854545,22.5287439,Skechers,shoes,,Skechers,,,
113.984155,22.5286876,李宁,clothes,,李宁,,,
113.9841522,22.5287434,阿迪达斯,sports,,阿迪达斯,,,
113.9842162,22.5287533,无印良品,variety_store,,无印良品,,,
113.9842968,22.5279663,Urban revival,clothes,,,,,
113.9838241,22.5277458,大美黔酒,wine,,,,,
113.9592237,22.585658,周大福,jewelry,,周大福,,,
113.9593673,22.58587,小米之家,mobile_phone,,小米,,,
113.9406085,22.5840305,荣耀,mobile_phone,,荣耀,,,
113.9457677,22.5868488,名创优品,department_store,,名创优品,,,
113.9457849,22.5866648,罗森,convenience,,罗森,,,
113.9462876,22.5865326,7-Eleven,convenience,,7-Eleven,,,
113.9306168,22.5734883,校园超市,convenience,,,,,
113.8829848,22.5459534,Toyota,car,,Toyota,,,
113.9861567,22.5259882,蔚来中心,car,,蔚来,,,
113.946911,22.5452803,罗森,convenience,,罗森,,,
113.9476549,22.5453214,7-Eleven,convenience,,7-Eleven,,,
113.9785159,22.5381913,沃尔玛,supermarket,,沃尔玛,,,
113.938084,22.5216656,7-Eleven,convenience,,7-Eleven,,,
113.9210143,22.5273914,向南瑞丰商业广场,mall,,,,,
113.9281687,22.5185388,乐安居,trade,,,,,
113.9194304,22.5594633,博轮学校报刊亭,newsagent,,,,,
113.9590708,22.5856352,华为,mobile_phone,,华为,,,
113.9471179,22.576673,,kiosk,,,,,
113.9451994,22.582812,美宜佳,convenience,,美宜佳,,,
113.9305194,22.5775719,,convenience,,,,,
113.9275541,22.5299513,,copyshop,,,,,
113.9271289,22.5307874,,convenience,,,,,
113.9275595,22.5306233,优剪,hairdresser,,,,,
113.9403419,22.5449817,中国电信,telecommunication,,中国电信,,,
113.9395938,22.5841942,罗森,convenience,24/7,罗森,,,
113.9502318,22.5841936,华为,mobile_phone,,华为,,,
113.9503935,22.5841916,Vivo,mobile_phone,,Vivo,,,
113.9607252,22.5861961,7-Eleven,convenience,,7-Eleven,,,
113.9923306,22.5925373,7-Eleven,convenience,,7-Eleven,,,
113.9110039,22.4899932,,kiosk,,,,,
113.9351424,22.5294232,罗森,convenience,,罗森,,,
113.9128217,22.5744716,,laundry,,,,,
113.9128221,22.5743671,,laundry,,,,,
113.916317,22.5027284,Spa,massage,,,,,
113.9155826,22.5000981,Spa,massage,,,,,
113.9880679,22.5389019,,convenience,,,,,
113.9926174,22.6005084,南科大品牌文化店,yes,,,,,
113.9081823,22.4751051,Oppo,mobile_phone,,Oppo,,,
113.9084163,22.474678,小米之家,mobile_phone,,小米,,,
113.9082407,22.4751375,荣耀,mobile_phone,,荣耀,,,
113.9106784,22.4743305,玩具反斗城,toys,,玩具反斗城,,,
113.9104391,22.4744514,无印良品,variety_store,,无印良品,,,
113.9017228,22.5636766,六福珠宝,jewelry,,六福珠宝,,,
113.9012768,22.5634997,无印良品,variety_store,,无印良品,,,
113.9018069,22.5635903,周生生,jewelry,,周生生,,,
113.9012231,22.5630405,Chanel,clothes,,Chanel,,,
113.9009803,22.5635256,优衣库,clothes,,优衣库,,,
113.9005457,22.5510135,小米汽车,car,,小米汽车,,,
113.9452999,22.5880603,丽新印务,copyshop,Mo-Su 08:30-22:00,,,,
113.9324524,22.5195663,Tidoo Park 踢倒公园,yes,Mo-Su 10:00-22:00,,,,
113.9328266,22.5203252,华润万家,supermarket,,华润万家,,,
113.933068,22.5202952,名创优品,variety_store,,名创优品,,,
113.933324,22.5256566,书报亭,kiosk,,,,,
113.9346212,22.4945326,盒马鲜生,supermarket,,盒马鲜生,,,
113.8836433,22.5456296,罗森,convenience,,罗森,,,
113.9397955,22.5840095,小米之家,mobile_phone,,小米,,,
113.9088094,22.4718456,大疆DJI,electronics,,大疆,,,
113.9089933,22.4718428,罗森,convenience,,罗森,,,
113.8949594,22.5526654,Panasonic松下新风系统,appliance,,Panasonic松下,,,
113.8950907,22.5526239,立邦,paint,,立邦,,,
113.891624,22.5557994,美宜佳,convenience,,美宜佳,,,
113.8909117,22.55523,钱大妈,greengrocer,,钱大妈,,,
113.8911229,22.5553818,果然鲜,greengrocer,,果然鲜,,,
113.8907792,22.5529759,口岸中国旅行社,travel_agency,,,,,
113.949728,22.5446436,优衣库,clothes,,优衣库,,,
113.9495166,22.5443048,Nike,clothes,,Nike,,,
