统一地址编码,中心坐标,中心点坐标,常用地址,名称,主键,使用用途,更新时间,总层数,更新状态,lng,lat,usage_type,floor_count,building_density_500m,mean_floors_500m,hhi_diversity,morphology_type,occlusion_factor,sidewalk_width_proxy,SCR,BFD,EWW,EWW_proxy,SVI,WES,alpha_env,v_robust,alpha_robust,v_elderly,alpha_elderly,v_wheelchair,alpha_wheelchair,SAI,T_network_base,T_adjusted_robust,AI_star_robust,T_adjusted_elderly,AI_star_elderly,T_adjusted_wheelchair,AI_star_wheelchair,quadrant,illusion_level
4403050070060100127,113.92672006,22.51380796,后海天后庙,后海天后宫,eae10302c5344c64936438e2fa1f4663,8,2022,1,1,113.92672006,22.51380796,8,1,403,7.46039603960396,0.43663611410646014,Mixed-Use,0.0,4.9411404983947405,0.5208439798068565,0.4200507938132735,3.425995897194627,4.9411404983947405,0.4714986138642868,5.696903587428968,0.82,0.9839999999999999,1.0,0.5903999999999999,0.6,0.39359999999999995,0.4,0.5696903587428969,900,1097.5609756097563,21.95121951219514,1829.268292682927,103.25203252032522,2743.902439024391,204.87804878048786,Q3-True Deprivation,Significant
4403050070150100137,113.93143831,22.53687988,南山区南海大道3688号,深圳大学档案馆,e8aab5a56e9d4006afa62a48cadf95b0,8,2022,6,1,113.93143831,22.53687988,8,6,48,5.142857142857143,0.26197417742607254,Premium Residential,0.0,8.0,0.2649863779120905,0.6639036735399847,4.406130598248572,8.0,0.6518714826682804,6.258461282922793,0.65,0.78,1.0,0.46799999999999997,0.6,0.31200000000000006,0.4,0.6258461282922794,900,1384.6153846153845,53.84615384615383,2307.692307692308,156.41025641025647,3461.538461538461,284.6153846153845,Q1-True Accessibility,Severe
4403050070101000002,113.93389721,22.54659471,高新中四道6号,凯丽花园12栋,e4fd700d49334c89b07d3e411bb03223,2,2022,8,1,113.93389721,22.54659471,2,8,46,7.1063829787234045,0.16342236306020824,Premium Residential,0.0,7.188261721550447,0.35380041038010007,0.6015518402377701,4.478654929004193,7.188261721550447,0.6904866507317,6.446254133198126,1.0,1.2,1.0,0.72,0.6,0.48,0.4,0.6446254133198126,900,900.0,0.0,1500.0,66.66666666666666,2250.0,150.0,Q1-True Accessibility,Minor
4403050070070100003,113.92461591,22.51038296,华明路1号,海映山庄8栋,e466a533c2e74bfa9d2e503a22d301c5,2,2022,6,1,113.92461591,22.51038296,2,6,396,6.01007556675063,0.4638631042643504,Mixed-Use,0.0,5.708123652048886,0.5501592974185122,0.36532309351607856,3.351310933333761,5.708123652048886,0.5390640680913832,5.7364830955621,0.82,0.9839999999999999,1.0,0.5903999999999999,0.6,0.39359999999999995,0.4,0.57364830955621,900,1097.5609756097563,21.95121951219514,1829.268292682927,103.25203252032522,2743.902439024391,204.87804878048786,Q3-True Deprivation,Significant
4403050070060100067,113.92644119,22.51211039,后海村69号,后海村69号,d9b8cc9fa27840d9902ea517fade008b,3,2022,4,1,113.92644119,22.51211039,3,4,417,7.090909090909091,0.4841578718435934,Commercial Block,0.0,5.116279069767441,0.44001049482681015,0.2706125455382961,3.005149982827376,5.116279069767441,0.455012811332797,4.784807210258874,0.82,0.9839999999999999,1.0,0.5903999999999999,0.6,0.39359999999999995,0.4,0.4784807210258874,900,1097.5609756097563,21.95121951219514,1829.268292682927,103.25203252032522,2743.902439024391,204.87804878048786,Q3-True Deprivation,Significant
4403050070030600004,113.95025026,22.54467738,科润路21号,华润城华润置地大厦7栋C座,d95ece0212e94623bc4ab929c1f9278b,4,2022,4,1,113.95025026,22.54467738,4,4,28,20.75862068965517,0.20332936979785968,Premium Residential,0.0,5.161290322580646,0.244799281537618,0.6869114243286679,4.601026402674735,5.161290322580646,0.7032159322120792,6.358108269858683,0.65,0.78,1.0,0.46799999999999997,0.6,0.31200000000000006,0.4,0.6358108269858682,900,1384.6153846153845,53.84615384615383,2307.692307692308,156.41025641025647,3461.538461538461,284.6153846153845,Q1-True Accessibility,Severe
4403050070090100015,113.92251869,22.51443277,登良路48号 龙城花园16栋,龙城花园16栋,d7263a41dbb942349d467c70ab8593b7,2,2022,7,1,113.92251869,22.51443277,2,7,337,6.677514792899408,0.3988655859388678,Mixed-Use,0.0,5.32755393557285,0.4886449690443407,0.4361793918964301,3.0497271997199538,5.32755393557285,0.5443304530165572,5.551123792732183,0.82,0.9839999999999999,1.0,0.5903999999999999,0.6,0.39359999999999995,0.4,0.5551123792732182,900,1097.5609756097563,21.95121951219514,1829.268292682927,103.25203252032522,2743.902439024391,204.87804878048786,Q3-True Deprivation,Significant
4403050070020100006,113.92294171,22.51608043,龙城路106号,粤海小区B座,ffe464ff787e4dc990763c33f4a20c41,3,2022,8,1,113.92294171,22.51608043,3,8,195,7.836734693877551,0.3231986672219908,Mixed-Use,0.0,4.7746650426309385,0.41619180223078944,0.5048152697375119,3.2263091011962715,4.7746650426309385,0.602486433145519,5.732029635574856,1.0,1.2,1.0,0.72,0.6,0.48,0.4,0.5732029635574856,900,900.0,0.0,1500.0,66.66666666666666,2250.0,150.0,Q3-True Deprivation,Minor
4403050070120400016,113.92181385,22.50984546,建南路5号,南油A区14栋,fef765ab3a8940d0acd7e3f6f037b17b,2,2022,6,1,113.92181385,22.50984546,2,6,254,5.4,0.4612841214917339,Mixed-Use,0.0,6.106870229007633,0.45204198668572915,0.4307591814696079,3.4917156754110605,6.106870229007633,0.5025230220875025,5.620392255038125,0.82,0.9839999999999999,1.0,0.5903999999999999,0.6,0.39359999999999995,0.4,0.5620392255038125,900,1097.5609756097563,21.95121951219514,1829.268292682927,103.25203252032522,2743.902439024391,204.87804878048786,Q3-True Deprivation,Significant
4403050070140400010,113.93109038,22.51223856,华明路1号,蔚蓝海岸二期15栋,fde1008d2db345828ae0ad23974d2163,2,2022,12,1,113.93109038,22.51223856,2,12,224,9.422222222222222,0.5673679012345679,Mixed-Use,0.0,4.181184668989546,0.39961385866719257,0.5437671032991604,3.3031277434656197,4.181184668989546,0.5811749661703307,5.7850641062561525,1.0,1.2,1.0,0.72,0.6,0.48,0.4,0.5785064106256153,900,900.0,0.0,1500.0,66.66666666666666,2250.0,150.0,Q1-True Accessibility,Minor
