Profile_ID,Road_Name,N_Buildings,Total_Floors,Avg_Floors,Max_Floors,Min_Floors,Avg_Height_m,Max_Height_m,Dominant_Usage,SCR_Est,EWW_Est_m,Building_Density_per_100m,Center_Lat,Center_Lng
P0001,南海大道,20,456,22.8,32,7,68.4,96.0,Residential,0.3,1.5,40.0,113.922671,22.516355
P0002,南海大道,20,345,17.2,32,2,51.8,96.0,Residential,0.3,1.5,40.0,113.923868,22.520058
P0003,南海大道,20,281,14.0,27,2,42.2,81.0,Residential,0.5,2.5,40.0,113.924899,22.523604
P0004,南海大道,20,205,10.2,27,2,30.8,81.0,Residential,0.5,2.5,40.0,113.925489,22.526604
P0005,南海大道,20,183,9.2,21,2,27.4,63.0,Residential,0.5,2.5,40.0,113.926453,22.529027
P0006,南海大道,20,205,10.2,21,4,30.8,63.0,Residential,0.5,2.5,40.0,113.927093,22.530227
P0007,南海大道,20,203,10.2,21,4,30.4,63.0,Residential,0.5,2.5,40.0,113.927872,22.530464
P0008,南海大道,20,195,9.8,21,4,29.2,63.0,Residential,0.5,2.5,40.0,113.928798,22.530672
P0009,南海大道,20,141,7.0,21,2,21.2,63.0,Residential,0.65,3.5,40.0,113.928787,22.530885
P0010,南海大道,20,117,5.8,7,2,17.5,21.0,Residential,0.65,3.5,40.0,113.929168,22.531017
P0011,南海大道,20,117,5.8,7,2,17.5,21.0,Residential,0.65,3.5,40.0,113.928522,22.531115
P0012,南海大道,20,117,5.8,7,2,17.5,21.0,Residential,0.65,3.5,40.0,113.928781,22.531196
P0013,南海大道,20,126,6.3,7,6,18.9,21.0,Residential,0.65,3.5,40.0,113.929303,22.531264
P0014,南海大道,20,116,5.8,7,2,17.4,21.0,Residential,0.65,3.5,40.0,113.929094,22.531346
P0015,南海大道,20,114,5.7,8,2,17.1,24.0,Residential,0.65,3.5,40.0,113.929833,22.531444
P0016,南海大道,20,116,5.8,8,2,17.4,24.0,Residential,0.65,3.5,40.0,113.929728,22.53154
P0017,南海大道,20,119,6.0,8,2,17.8,24.0,Residential,0.65,3.5,40.0,113.929855,22.53165
P0018,南海大道,20,131,6.6,8,2,19.6,24.0,Residential,0.65,3.5,40.0,113.930338,22.531871
P0019,南海大道,20,119,6.0,8,2,17.8,24.0,Residential,0.65,3.5,40.0,113.929816,22.532234
P0020,南海大道,20,93,4.6,8,1,14.0,24.0,Residential,0.65,3.5,40.0,113.929949,22.532738
P0021,南海大道,20,78,3.9,8,1,11.7,24.0,Residential,0.65,3.5,40.0,113.929938,22.533374
P0022,南海大道,20,69,3.4,6,1,10.4,18.0,Residential,0.65,3.5,40.0,113.929718,22.534067
P0023,南海大道,20,76,3.8,6,1,11.4,18.0,Residential,0.65,3.5,40.0,113.930708,22.534684
P0024,南海大道,20,97,4.8,15,1,14.6,45.0,Residential,0.65,3.5,40.0,113.931586,22.535198
P0025,南海大道,20,121,6.0,15,1,18.2,45.0,Residential,0.65,3.5,40.0,113.932259,22.535651
P0026,南海大道,20,120,6.0,15,1,18.0,45.0,Residential,0.65,3.5,40.0,113.932369,22.535987
P0027,南海大道,20,128,6.4,15,1,19.2,45.0,Residential,0.65,3.5,40.0,113.932275,22.536292
